,country_name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,unnamed:_65
119,Japan,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2466212851047.55,2636747270152.85,2719707443885.29,2769753954197.59,2856992786468.72,2993644735915.0,3143992144629.41,3229588924781.63,3224451308869.43,3258971755243.63,3461199212871.49,3552841434344.91,3647933229747.3,3753919256711.54,3938955753801.61,4110440479265.64,4300322202225.7,4482081297524.2,4517267516318.56,4295629000666.77,4525401285474.55,4629400479632.82,4799612889015.1,5021591088716.88,5034454618847.27,5199915217476.25,5158900389806.61,5262254961496.86,5339831831131.11,5380978414306.42,5334236727898.19,
127,Kuwait,KWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59140046432.8731,81120329821.0381,89842174525.7959,96182395648.7574,98536146909.9278,102778836081.098,107741812600.975,107342052361.42,114893568377.958,117664154640.361,123128154374.4,147144148591.59,166579243101.598,189991044475.665,210450021206.569,229051287885.45,239297034148.458,224059434740.373,221297604001.787,247672823742.859,276884442786.982,275263666389.691,258670095308.753,181157353237.842,176814346747.18,206275309887.727,213860114613.958,218608336017.205,202027473309.869,
148,Morocco,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63749345503.832,70660973432.9195,70755211132.6839,71895921956.1531,81206100746.4838,78427314043.6418,89744679390.7094,89923770135.3571,97518322133.9155,99996017347.7581,104186959602.84,114265954836.287,119696543291.712,129187236500.533,139029206436.019,148078776964.196,164115797564.455,174476003673.646,188405513419.813,197898249083.893,207843489307.36,223315729951.264,226123984328.435,236669859661.439,229401963793.421,247207179584.528,253685437088.192,264212938334.625,279075124115.407,291465062302.723,276414104195.624,
154,Mexico,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678638337126.598,732220730350.647,778364132282.327,758505098210.813,812980906096.732,777809486586.036,845698498837.261,919184016850.251,977530077381.408,1018601794034.79,1096748841633.21,1116922418402.18,1137595954619.2,1184225231425.39,1263689147984.32,1341775400309.42,1485717815145.24,1560834850130.85,1653898166712.45,1636084641959.78,1740490293843.66,1911319122227.47,2012767821886.24,2064490858166.15,2173227410899.1,2230188837833.73,2383253006289.45,2460766209923.96,2535949723291.33,2534036206427.55,2378045114236.45,
174,Nigeria,NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195930289158.615,203282049710.946,217543594651.067,218167904737.798,218782577310.354,223207919304.82,236831901103.233,248147221995.91,257417573015.81,262659531968.492,282000569306.88,305239982399.302,357598985974.352,391001358105.168,438671520353.205,481459606032.987,526086113116.86,575824742732.046,626734458459.32,682266544598.871,745473030025.964,801440949035.347,833291994452.731,897506108480.495,971491854689.888,982912105652.4,973442207702.023,990700126987.351,1033992766474.73,1075693742556.29,1069124741673.76,
176,Netherlands,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286542749949.345,303457972056.002,315668733747.621,327215315770.401,344098764590.948,362260977580.398,380633710257.809,406143111835.01,435230615545.094,462796668420.942,507559373420.92,532415187523.824,556285472929.846,554087885182.436,583047016225.065,614044200508.505,670415498740.704,719797721460.126,763407743799.947,736543194741.756,748422216133.557,777880906388.857,792042289740.032,827475738129.662,830318571509.821,851884866008.706,890488127445.161,943739691874.959,996446719459.491,1023422581997.29,1033703786007.38,
177,Norway,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78260064583.9132,83402370224.3678,88352111895.5282,93019846807.6,99809179156.6773,106136616492.435,117499998885.91,126025613010.361,124906978407.393,136333970612.487,165880541991.868,170458684985.429,172360885220.162,176174682535.497,195385512770.541,220981890027.144,252424511834.579,263385439466.042,294277831349.971,267338645801.65,283183774154.001,307471559230.611,327987730556.922,340137921349.59,338506031929.012,313230605417.6,308522092432.707,337993790660.966,370815981929.882,357234985787.728,336996381517.09,
180,New Zealand,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49494148953.8073,50920076386.4824,52698533576.7729,57033823097.0293,61899494624.104,65810492915.3674,68930604408.3788,72388499334.5769,73810390775.1176,78923926226.423,82993411165.6987,87345928885.1912,92024844754.3231,96546618676.8686,102560104153.326,106147882736.156,116145778469.234,124052195848.734,127057661824.005,132009122772.214,135839532696.295,143362843769.664,145417090682.004,160993347759.546,168435445919.777,172758850728.072,188355651044.27,203544615883.473,208645225364.95,226248880630.193,226207243215.621,
185,Panama,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12458027663.7108,14092433116.966,15595743363.4765,16836447709.2391,17686087801.4759,18373247218.5726,19472953885.2685,21101806077.7487,22905936891.5734,24146881342.3476,25357014387.5242,26062014033.6211,27064403993.8697,28726345470.9258,31718712036.341,35058764084.6087,39244959865.6579,45128637926.9358,50540686138.7398,51558989236.5181,55199649069.5973,62728252365.634,70433629057.6698,79815096474.9803,89329888739.9787,100479058234.003,112345910901.043,125038025712.747,132758886083.883,139155288120.14,115560209156.964,
186,Peru,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74143770963.5561,78352223828.4835,79704648623.2187,85872359474.6802,98501285929.1134,108020159986.626,113076788096.756,122553535406.459,123447656594.691,127102074784.06,133444567184.575,137214203633.683,146985987031.684,155951348486.552,168090446562.508,184220033794.452,204084376097.336,227418351671.242,253001150963.592,257723487424.436,282451550070.25,306596257463.361,317719593696.311,336325852091.006,346348573214.234,352617166513.571,371526141635.466,393259049121.626,418684963974.761,435551564551.279,391656783058.764,
