,sofifa_id,short_name,short_name,long_name,value_eur,wage_eur,age,height_cm,weight_kg,club_team_id,club_name,nationality_id,nationality_name
174,164468,G. Cahill,G. Cahill,Gary Cahill,9500000.0,110000.0,28,193,86,5.0,Chelsea,14,England
175,164859,T. Walcott,T. Walcott,Theo Walcott,12000000.0,110000.0,25,176,68,1.0,Arsenal,14,England
176,165229,L. Koscielny,L. Koscielny,Laurent Koscielny,9500000.0,120000.0,28,186,75,1.0,Arsenal,18,France
177,165580,Diego Alves,Diego Alves,Diego Alves Carreira,11500000.0,80000.0,29,188,83,461.0,Valencia CF,54,Brazil
179,167943,Y. Cabaye,Y. Cabaye,Yohan Cabaye,11000000.0,120000.0,28,175,72,73.0,Paris Saint-Germain,18,France
180,170369,G. dos Santos,G. dos Santos,Giovani dos Santos Ramírez,13500000.0,80000.0,25,175,74,483.0,Villarreal CF,83,Mexico
183,172610,Leandro Castán,Leandro Castán,Leandro Castán da Silva,10500000.0,100000.0,27,184,80,52.0,Roma,54,Brazil
184,177326,M. Valbuena,M. Valbuena,Mathieu Valbuena,11500000.0,90000.0,29,167,58,312.0,Dinamo Moscow,18,France
185,177457,L. Bender,L. Bender,Lars Bender,12000000.0,90000.0,25,184,77,32.0,Bayer 04 Leverkusen,21,Germany
186,177458,S. Bender,S. Bender,Sven Bender,10500000.0,100000.0,25,185,72,22.0,Borussia Dortmund,21,Germany
187,178224,J. Hernández,J. Hernández,Javier Hernández Balcázar,14000000.0,130000.0,26,175,71,243.0,Real Madrid CF,83,Mexico
188,178372,B. Ivanović,B. Ivanović,Branislav Ivanović,8000000.0,100000.0,30,185,91,5.0,Chelsea,51,Serbia
190,182629,Beto,Beto,António Alberto Bastos Pimparel,9000000.0,80000.0,32,182,81,481.0,Sevilla FC,38,Portugal
191,183285,M. Sakho,M. Sakho,Mamadou Sakho,10500000.0,90000.0,24,187,83,9.0,Liverpool,18,France
